,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type
954,1450.0,2,2.0,Unfurnished,other,1.0,7000000,Ready_to_move,Resale,Apartment
955,800.0,2,2.0,Unfurnished,other,1.0,6000000,Ready_to_move,Resale,Builder_Floor
960,1500.0,3,3.0,Semi-Furnished,other,1.0,12000000,Ready_to_move,Resale,Apartment
963,1600.0,4,3.0,Furnished,other,1.0,20000000,Ready_to_move,Resale,Apartment
966,1000.0,3,2.0,Furnished,other,2.0,12000000,Ready_to_move,Resale,Apartment
968,975.0,3,2.0,Semi-Furnished,other,1.0,12000000,Ready_to_move,Resale,Apartment
978,1150.0,3,3.0,Semi-Furnished,other,1.0,12000000,Ready_to_move,Resale,Apartment
981,1350.0,3,3.0,Semi-Furnished,other,1.0,12000000,Ready_to_move,Resale,Apartment
982,1200.0,3,2.0,Semi-Furnished,other,1.0,12500000,Ready_to_move,Resale,Apartment
984,1460.0,3,3.0,Unfurnished,other,1.0,12000000,Ready_to_move,Resale,Apartment
986,1500.0,3,3.0,Furnished,other,2.0,15000000,Ready_to_move,Resale,Apartment
1001,900.0,3,2.0,Furnished,other,1.0,5500000,Ready_to_move,Resale,Builder_Floor
1002,1512.0,2,2.0,Unfurnished,other,1.0,30000000,Almost_ready,New_Property,Apartment
1005,2907.0,4,4.0,Semi-Furnished,other,1.0,30000000,Ready_to_move,Resale,Apartment
1011,1100.0,3,3.0,Semi-Furnished,other,2.0,12500000,Ready_to_move,Resale,Apartment
1014,1260.0,3,2.0,Semi-Furnished,other,1.0,7000000,Ready_to_move,Resale,Builder_Floor
1020,1135.0,3,3.0,Furnished,other,2.0,25000000,Almost_ready,Resale,Apartment
1032,1280.0,3,3.0,Furnished,other,2.0,15000000,Ready_to_move,Resale,Builder_Floor
1036,1206.0,3,3.0,Semi-Furnished,other,1.0,20000000,Ready_to_move,Resale,Builder_Floor
1038,345.0,1,1.0,Semi-Furnished,other,1.0,5500000,Ready_to_move,Resale,Builder_Floor
1039,720.0,2,1.0,Semi-Furnished,other,1.0,7000000,Ready_to_move,Resale,Builder_Floor
1042,950.0,2,2.0,Furnished,other,1.0,12500000,Ready_to_move,Resale,Apartment
1045,1501.0,3,2.0,Semi-Furnished,other,1.0,20000000,Almost_ready,Resale,Apartment
1055,1450.0,3,3.0,Semi-Furnished,other,2.0,15500000,Ready_to_move,New_Property,Apartment
1056,1250.0,2,2.0,Furnished,other,2.0,15000000,Ready_to_move,Resale,Apartment
1058,1646.0,3,3.0,Unfurnished,other,1.0,20000000,Ready_to_move,Resale,Apartment
1062,1590.0,3,2.0,Unfurnished,other,2.0,25000000,Ready_to_move,New_Property,Apartment
1063,990.0,3,2.0,Unfurnished,other,2.0,25000000,Ready_to_move,Resale,Apartment
1065,1260.0,3,3.0,Semi-Furnished,other,1.0,25000000,Ready_to_move,Resale,Apartment
1069,1450.0,3,3.0,Semi-Furnished,other,2.0,15000000,Ready_to_move,New_Property,Apartment
1071,861.112,2,2.0,Furnished,other,2.0,5000000,Ready_to_move,Resale,Builder_Floor
1073,1753.0,3,3.0,Unfurnished,other,1.0,19000000,Ready_to_move,Resale,Apartment
1078,1138.0,2,2.0,Semi-Furnished,other,2.0,13500000,Ready_to_move,New_Property,Apartment
1079,1600.0,3,3.0,Semi-Furnished,Sheikh Sarai Phase 1,2.0,21000000,Ready_to_move,New_Property,Builder_Floor
1080,1600.0,3,3.0,Semi-Furnished,Sheikh Sarai Phase 1,1.0,22500000,Ready_to_move,Resale,Builder_Floor
1081,1250.0,2,4.0,Semi-Furnished,other,1.0,19000000,Ready_to_move,Resale,Builder_Floor
1085,1800.0,3,4.0,Semi-Furnished,Sheikh Sarai Phase 1,2.0,19000000,Ready_to_move,Resale,Apartment
1086,600.0,1,1.0,Unfurnished,other,2.0,7000000,Ready_to_move,New_Property,Apartment
1090,1100.0,3,2.0,Semi-Furnished,other,1.0,6000000,Ready_to_move,New_Property,Builder_Floor
1095,1350.0,3,3.0,Unfurnished,Sheikh Sarai Phase 1,2.0,20000000,Ready_to_move,Resale,Apartment
1096,900.0,2,2.0,Unfurnished,Sheikh Sarai Phase 1,2.0,5500000,Ready_to_move,New_Property,Builder_Floor
